Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_001,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38603,2,8,78.14,740.39
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_002,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38655,2,8,77.86,741.04
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_003,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38714,2,8,78.02,740.24
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_004,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38693,2,8,77.39,724.29
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_005,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38674,2,8,77.95,731.58
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_006,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38666,2,8,78.19,741.4
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_007,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38652,2,8,78.41,750.85
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_008,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38677,2,8,77.69,730.74
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_009,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38660,2,8,78.16,739.59
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_010,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38685,2,8,77.84,737.85
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_011,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38735,2,8,77.68,728.44
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_012,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38696,2,8,78.11,751.45
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_013,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38673,2,8,77.52,727.07
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_014,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38610,2,8,77.81,737.13
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_015,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38670,2,8,78.14,727.1
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_016,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38641,2,8,78.31,757.36
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_017,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38757,2,8,78.29,742.07
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_018,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38605,2,8,77.84,733.62
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_019,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38605,2,8,78.36,749.5
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_020,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38668,2,8,78.05,733.96
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_021,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38617,2,8,78.03,733.38
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_022,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38671,2,8,78.59,746.76
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_023,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38592,2,8,78.1,736.62
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_024,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38598,2,8,77.9,732.2
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_025,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38747,2,8,78.02,741.96
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_026,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38741,2,8,78.21,744.27
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_027,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38667,2,8,78.25,754.68
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_028,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38757,2,8,77.84,743.59
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_029,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38704,2,8,77.74,723.07
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_030,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38736,2,8,78.17,744.03
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_031,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38698,2,8,78.15,742.85
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_032,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38605,2,8,78.13,737.88
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_033,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38665,2,8,78.14,748.27
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_034,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38663,2,8,78.37,748.26
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_035,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38578,2,8,77.65,724.65
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_036,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38568,2,8,77.96,730.56
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_037,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38624,2,8,78.11,737.34
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_038,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38744,2,8,77.98,730.38
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_039,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38674,2,8,77.54,724.59
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_040,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38584,2,8,78.17,740.23
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_041,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38526,2,8,77.89,727.48
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_042,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38550,2,8,78.02,737.65
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_043,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38690,2,8,78.24,742.46
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_044,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38648,2,8,78.03,732.53
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_045,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38692,2,8,78.12,739.05
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_046,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38636,2,8,78.05,732.46
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_047,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38648,2,8,78.29,730.75
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_048,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38613,2,8,78.18,747.26
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_049,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38570,2,8,77.83,721.79
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_050,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38682,2,8,77.64,722.85
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_051,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38700,2,8,78.31,745.4
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_052,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38624,2,8,77.81,722.6
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_053,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38567,2,8,77.95,742.21
